Chemin,Motif
C:\yassmine\reports\Consumer Goods\UnknownSubsector\Academy Sports & Outdoors Inc_2023_Report.pdf,Fichier non PDF (text/html)
"C:\yassmine\reports\Consumer Goods\UnknownSubsector\Advance Auto Parts, Inc._2022_Report.pdf",Fichier non PDF (text/html)
C:\yassmine\reports\Consumer Goods\UnknownSubsector\Arçelik A.._2021_Report.pdf,Fichier non PDF (cannot open `C:\yassmine\reports\Consumer Goods\UnknownSubsector\Ar\303\247elik A.._2021_Report.pdf' (No such file or directory))
C:\yassmine\reports\Consumer Goods\UnknownSubsector\Auto1 Group SE_2023_Report.pdf,Fichier trop petit
C:\yassmine\reports\Consumer Goods\UnknownSubsector\C&A Modas Ltda_2023_Report.pdf,Fichier trop petit
C:\yassmine\reports\Consumer Goods\UnknownSubsector\Cintas Corp_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Consumer Goods\UnknownSubsector\Cosmax Inc_2023_Report.pdf,Fichier trop petit
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Acindar Industria Argentina de Aceros SA_2020_Report.pdf,Fichier trop petit
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Alamos Gold Inc._2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Alliance Resource Partners LP_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Altynalmas JSC_2021_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Alumina Ltd_2022_Report.pdf,Fichier trop petit
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Anglo American_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Apache Corp_2020_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Arch Resources Inc_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Asia Cement China Holdings Corp_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Atlas Consolidated Mining & Development Corp_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Bellevue Gold Ltd_2024_Report.pdf,Fichier trop petit
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\BHP Group Ltd_2024_Report.pdf,Fichier trop petit
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Capricorn Energy PLC_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\CEMEX Latam Holdings SA_2024_Report.pdf,Fichier trop petit
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Cemex S.A.B. de C.V._2024_Report.pdf,Fichier trop petit
C:\yassmine\reports\Extractives & Minerals Processing\UnknownSubsector\Chesapeake Energy Corp_2023_Report.pdf,Fichier trop petit
