Company,Status,File Path,URL
a2_Milk_Co_Ltd_The,Skipped,"data/raw/Food_and_Beverage\Meat,_Poultry_and_Dairy\a2_Milk_Co_Ltd_The__2024.pdf",https://assets-au-01.kc-usercontent.com/bca3e5d5-83bd-02bf-1c27-acb036630e5b/cf7e16e6-176d-4b9f-8d2a-e34a446ec23a/79207_a2_SASB%20Standards_V01.pdf
3M_India_Ltd,Skipped,data/raw/Resource_Transformation\Containers_and_Packaging\3M_India_Ltd__2024.pdf,https://multimedia.3m.com/mws/media/2395043O/3m-2024-global-impact-report.pdf
407_ETR,Skipped,data/raw/Infrastructure\Engineering_and_Construction_Services\407_ETR__2022.pdf,https://407etr.com/documents/investors/2022ESGReport.pdf
3i_Group_PLC,Skipped,data/raw/Financials\Asset_Management_and_Custody_Activities\3i_Group_PLC__2024.pdf,https://www.3i.com/media/ji4blavo/sasb-disclosures-for-the-year-ended-31-march-2024.pdf
AandT_Europe_-_Spa,Skipped,data/raw/Infrastructure\Engineering_and_Construction_Services\AandT_Europe_-_Spa__2023.pdf,https://www.myrthapools.com/app/uploads/2023/10/ESG-Myrtha-Pools-EN.pdf
AAON_Inc,Skipped,data/raw/Resource_Transformation\Electrical_and_Electronic_Equipment\AAON_Inc__2023.pdf,https://www.aaon.com/hubfs/Documents/IR%20Documents/ESG%20and%20Sustainability%20Reports/2023%20AAON%20Sustainability%20Report.pdf
407_International_Inc,Skipped,data/raw/Services\Professional_and_Commercial_Services\407_International_Inc__2022.pdf,https://407etr.com/documents/investors/2022ESGReport.pdf
Aarti_Industries_Ltd,Skipped,data/raw/Resource_Transformation\Chemicals\Aarti_Industries_Ltd__2023-2024.pdf,https://www.aarti-industries.com/Upload/PDF/sustainability-report-2023-2024.pdf
AAR_Corp,Skipped,data/raw/Resource_Transformation\Aerospace_and_Defence\AAR_Corp__2024.pdf,https://www.aarcorp.com/globalassets/5.-about/sustainability/aar-2024-gri-sasb-index_final-pdf.pdf
AB_-_AllianceBernstein_Holding_LP,Skipped,data/raw/Financials\Asset_Management_and_Custody_Activities\AB_-_AllianceBernstein_Holding_LP__2024.pdf,https://www.alliancebernstein.com/content/dam/corporate/corporate-pdfs/sasb-disclosures.pdf
Abbott_Laboratories,Skipped,data/raw/Health_Care\Medical_Equipment_and_Supplies\Abbott_Laboratories__2023.pdf,https://www.abbott.com/content/dam/corp/abbott/en-us/hub-new/Abbott-2023-Global-Sustainability-Report-June-2024.pdf
ABN_AMRO_Bank_NV,Skipped,data/raw/Financials\Commercial_Banks\ABN_AMRO_Bank_NV__2021.pdf,https://assets.ctfassets.net/1u811bvgvthc/2DU5m0OQxDDBARkw7ukegy/ac50c088f2b2dd351fdd3d0a8d31e91d/ABN_AMRO_SASB_Content_Index_2021.pdf
Abengoa_Yield_plc,Skipped,data/raw/Infrastructure\Electric_Utilities_and_Power_Generators\Abengoa_Yield_plc__2023.pdf,https://www.atlantica.com/wp-content/uploads/documents/2023-Integrated-Annual-Report-Web.pdf
Abu_Dhabi_Commercial_Bank_PJSC_ADCB,Skipped,data/raw/Financials\Commercial_Banks\Abu_Dhabi_Commercial_Bank_PJSC_ADCB__2023.pdf,https://www.adcb.com/en/multimedia/pdfs/2024/april/2023-esg-report-english.pdf
Abu_Dhabi_National_Energy_Co_PJSC_TAQA,Skipped,data/raw/Infrastructure\Electric_Utilities_and_Power_Generators\Abu_Dhabi_National_Energy_Co_PJSC_TAQA__2023.pdf,https://www.taqa.com/wp-content/uploads/2024/05/TAQA-Sustainability-Report-2023-1.pdf
AC_Energy_Inc.,Skipped,data/raw/Infrastructure\Electric_Utilities_and_Power_Generators\AC_Energy_Inc.__2023.pdf,https://www.acenrenewables.com/wp-content/uploads/2024/04/2023-ACEN-Integrated-Report_final.pdf
Academy_Sports_and_Outdoors_Inc,Skipped,data/raw/Consumer_Goods\Multiline_and_Specialty_Retailers_and_Distributors\Academy_Sports_and_Outdoors_Inc__2023.pdf,https://corporate.academy.com/wp-content/uploads/corpresponsibility/2023_Academy_Corporate_Responsibility_Report.pdf
