Company,Year,CO2 Emissions,Water Usage,Energy Consumption,Employees,Waste Generated
Aditya_Birla_Fashion_and_Retail_Ltd,2023,100 ,"145,631 ",301 ,"12,529","1,518 "
Accsys_Technologies_PLC,2023,,,,,
Aekyung_Industrial_Co_Ltd,2023,,,,,
Academy_Sports_and_Outdoors_Inc,2023,,,,,
ACCO_Brands_Corp,2023,,2022. ,10,,
"Advance_Auto_Parts,_Inc.",2022,,,"53
",,
Acerinox_SA,2023,"14,427 t",20,89,2023,"284,134 "
Acindar_Industria_Argentina_de_Aceros_SA,2020,,,,,
Agnico_Eagle_Mines_Ltd.,2023,,,"26,358,718 ",,62
ACE_Enexor_Inc,2021,,303,2019 ,,306
Advantage_Energy_Ltd,2022,"1,428 t",,"4,451,157 ",,23
Africa_Oil_Corp,2023,,,11.1.2 ,18,
3i_Group_PLC,2024,,,,,
Abrdn_plc,2024,1.1,,,,
AB_-_AllianceBernstein_Holding_LP,2024,,,,,
Administradora_de_Fondos_de_Pensiones_y_Cesantias_PROTECCION_SA_Colombia,2022,2022 ,,,,
ABN_AMRO_Bank_NV,2021,,,,,
Abu_Dhabi_Commercial_Bank_PJSC_ADCB,2023,2023 ,2020 ,72,"7,979",2020 
Admiral,2024,,,,,
Aflac_Inc,2023,2022 ,,,,
AIG_-_American_International_Group_Inc,2023,,,,,"2,726 "
AGNC_Investment_Corp,2023,,,2021 ,,
Adecoagro_SA,2023,"1,000,000","504,528,300 m3","2023, ",2023,42 
Agrovision_US_HoldCo_LLC,2023,,"110,848
","2023, ",,129
a2_Milk_Co_Ltd_The,2024,,,,,
Agios_Pharmaceuticals_Inc,2021,,,,,
Acadia_Healthcare_Co_Inc,2023,,,,,
Abbott_Laboratories,2023,,33,3. ,,2023
Abengoa_Yield_plc,2023,100,2022 ,2023 ,17,
Abu_Dhabi_National_Energy_Co_PJSC_TAQA,2023,,,,,
AC_Energy_Inc.,2023,345 ,2023 ,2023 ,,2023 
AES_Andes_SA,2023,"0,062 ",,,,
AES,2023,,,22 ,,1.2 
407_ETR,2022,,,,,
AandT_Europe_-_Spa,2023,"4, ",,"2022
",,2022 
Acter_Group_Corp_Ltd,2023,,,,,
AECOM,2024,,,84 ,000.,
Agree_Realty_Corp,2023,,,,,
Aguas_Andinas_SA,2024,221 ,,,,
AES_Brasil,2023,2. ,"11,795 ",,594,
AAR_Corp,2024,,,2024 ,000.,
Aerospace_Industrial_Development_Corp,2023,50,"2022.
","549,677",2023,70 KG
Aarti_Industries_Ltd,2023-2024,,16 ,"14
",6099,"3,88,730.3 MT"
AdvanSix_Inc,2023,,2021 ,,,2021 
Air_Liquide_SA,2022,,,,,
3M_India_Ltd,2024,,,,,
AAON_Inc,2023,,,"86
",000.,"90
"
Acme_Electronics_Corp,2023,"1,918 t",2022. ,"1,059 ","1,663",3.1.3 
Acuity_Brands_Inc,2024,,,,000.,284 
AGCO_Corporation,2024,,2022 ,"1,930,650 ",,"11,516 "
Ag_Growth_International_Inc,2023,,,,,
Afya,2022,,107 ,2023 ,72.88,"59.
"
Accor_SA,2021,,"165
",2019 ,"1,285",
407_International_Inc,2022,,,,,
Adecco,2022,,,,,
ADT_Inc,2023,,,,,
Aena_SME_SA,2023,,,,,
Microsoft,2023,547 tons,,,,
Accton_Technology_Corp,2023,415 ,1.82,2023 ,"3,369.",
Advantech_Co_Ltd,2023,"129,799 t","2023, ",5.34,"31,",4.4.2 
Aferian_PLC,2024,,,,,
Advanced_Micro_Devices_Inc_AMD,2023-2024,2023 t,,,,2023 
Advantest_Corp,2023,,2016 ,"45,338 ",80,95
Accenture_Development_Partnerships,2024,,,,,
Acer_E-Enabling_Service_Business_Inc,2023,"1.81
",,,,
"ACI_Worldwide,_Inc",2023,,2022 ,"24,444
","31,",
Activision_Blizzard_Inc,2022,,,,,
Adeia_Inc,2024,,,,,
Advanced_Info_Service_PCL,2024,"2,462 t","97,429 ",3.06,,183 
Aeroflot_PJSC,2023,2023 ,"1, thousand","2023
",3.5,
Aer_Lingus_Group_DAC,2023,,000 m3,85,31,51
Adient_PLC,2024,100,2024 ,"881,196,250 kWh","41,587","9,587 "
