Company,KPI name,Value,Unit,Year,Page,Matched KPI,Score
Aditya_Birla_Fashion_and_Retail_Ltd,CO2 Emissions (Scope 1),1926,,2023,N/A,Total Gross Global Scope 1 Emissions,0.7238
Aditya_Birla_Fashion_and_Retail_Ltd,CO2 Emissions (Scope 2),39223,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.6815
Aditya_Birla_Fashion_and_Retail_Ltd,CO2 Emissions (Scope 3),1120853,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7055
Aditya_Birla_Fashion_and_Retail_Ltd,GHG Emissions (Total),52282,,2023,N/A,Total GHG Emissions from Power Generation,0.6968
Aditya_Birla_Fashion_and_Retail_Ltd,Hazardous Waste,3730,,2023,N/A,Amount of hazardous waste generated,0.6836
Aekyung_Industrial_Co_Ltd,CO2 Emissions (Scope 1),46,,2023,N/A,Total Gross Global Scope 1 Emissions,0.7267
Aekyung_Industrial_Co_Ltd,CO2 Emissions (Scope 2),46,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.711
"Advance_Auto_Parts,_Inc.",Recycled Waste,8.8,%,2022,N/A,Hazardous Waste Generation Rate,0.6204
Acerinox_SA,CO2 Emissions (Scope 1),20,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7386
Acerinox_SA,CO2 Emissions (Scope 2),81,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7289
Acerinox_SA,CO2 Emissions (Scope 3),14064,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7056
Acerinox_SA,GHG Emissions (Total),2030,,2023,N/A,Year-over-Year Change in GHG Emissions,0.7045
Acerinox_SA,Waste Generated,284134,,2023,N/A,Amount of hazardous waste generated,0.6385
Acerinox_SA,Hazardous Waste,1182735,,2023,N/A,Amount of hazardous waste generated,0.7096
Agnico_Eagle_Mines_Ltd.,CO2 Emissions (Scope 1),2030,,2023,N/A,Total Gross Global Scope 1 Emissions,0.708
Agnico_Eagle_Mines_Ltd.,CO2 Emissions (Scope 2),30,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7463
Agnico_Eagle_Mines_Ltd.,CO2 Emissions (Scope 3),25,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7608
Agnico_Eagle_Mines_Ltd.,GHG Emissions (Total),50,,2023,N/A,Total GHG Emissions from Power Generation,0.7018
Agnico_Eagle_Mines_Ltd.,Waste Generated,62,,2023,N/A,Amount of hazardous waste generated,0.6346
Agnico_Eagle_Mines_Ltd.,Hazardous Waste,62,,2023,N/A,Amount of hazardous waste generated,0.7042
ACE_Enexor_Inc,CO2 Emissions (Scope 1),1256933.46,,2021,N/A,Total Gross Global Scope 1 Emissions,0.7149
ACE_Enexor_Inc,CO2 Emissions (Scope 2),16617.31,,2021,N/A,Total Gross Global Scope 1 Emissions,0.6913
ACE_Enexor_Inc,GHG Emissions (Total),2050.,,2021,N/A,Year-over-Year Change in GHG Emissions,0.7083
ACE_Enexor_Inc,Waste Generated,306,,2021,N/A,Amount of hazardous waste generated,0.6447
ACE_Enexor_Inc,Hazardous Waste,306,,2021,N/A,Amount of hazardous waste generated,0.7347
Advantage_Energy_Ltd,CO2 Emissions (Scope 1),0.0033,,2022,N/A,Total Gross Global Scope 1 Emissions,0.7476
Advantage_Energy_Ltd,CO2 Emissions (Scope 2),3125,t,2022,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.702
Advantage_Energy_Ltd,GHG Emissions (Total),68591,,2022,N/A,Year-over-Year Change in GHG Emissions,0.6671
Advantage_Energy_Ltd,Waste Generated,23,,2022,N/A,Amount of hazardous waste generated,0.6087
Africa_Oil_Corp,CO2 Emissions (Scope 1),2023,t,2023,N/A,Total Gross Global Scope 1 Emissions,0.6882
Africa_Oil_Corp,GHG Emissions (Total),1,,2023,N/A,Total Gross Global Scope 1 Emissions,0.7431
Abu_Dhabi_Commercial_Bank_PJSC_ADCB,CO2 Emissions (Scope 1),2,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7623
Abu_Dhabi_Commercial_Bank_PJSC_ADCB,CO2 Emissions (Scope 2),15048,,2023,N/A,Total Gross Global Scope 1 Emissions,0.6833
Abu_Dhabi_Commercial_Bank_PJSC_ADCB,CO2 Emissions (Scope 3),7294,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.6899
Abu_Dhabi_Commercial_Bank_PJSC_ADCB,GHG Emissions (Total),2030,,2023,N/A,Year-over-Year Change in GHG Emissions,0.7161
Abu_Dhabi_Commercial_Bank_PJSC_ADCB,Waste Generated,2020,,2023,N/A,Hazardous Waste Generation Rate,0.6153
Admiral,CO2 Emissions (Scope 1),1.,,2024,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7719
Abu_Dhabi_Commercial_Bank_PJSC_ADCB,CO2 Emissions (Scope 1),2,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7623
Aflac_Inc,CO2 Emissions (Scope 2),58,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7226
Aflac_Inc,CO2 Emissions (Scope 3),58,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7503
Aflac_Inc,GHG Emissions (Total),58,,2023,N/A,Total GHG Emissions from Power Generation,0.689
AIG_-_American_International_Group_Inc,CO2 Emissions (Scope 1),50,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7329
AIG_-_American_International_Group_Inc,CO2 Emissions (Scope 2),50,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7249
AIG_-_American_International_Group_Inc,CO2 Emissions (Scope 3),76,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.74
AIG_-_American_International_Group_Inc,GHG Emissions (Total),2019.,,2023,N/A,Year-over-Year Change in GHG Emissions,0.7308
AGNC_Investment_Corp,CO2 Emissions (Scope 1),144,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7233
AGNC_Investment_Corp,CO2 Emissions (Scope 2),143,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7129
AGNC_Investment_Corp,GHG Emissions (Total),17,,2023,N/A,Year-over-Year Change in GHG Emissions,0.723
Adecoagro_SA,CO2 Emissions (Scope 1),38,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7534
Adecoagro_SA,CO2 Emissions (Scope 2),38,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7495
Adecoagro_SA,CO2 Emissions (Scope 3),268036,tCO,2023,N/A,Total Gross Global Scope 1 Emissions,0.6038
Adecoagro_SA,GHG Emissions (Total),38,,2023,N/A,Total GHG Emissions from Power Generation,0.7116
Agrovision_US_HoldCo_LLC,CO2 Emissions (Scope 1),96,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7247
Agrovision_US_HoldCo_LLC,CO2 Emissions (Scope 2),96,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7173
Agrovision_US_HoldCo_LLC,CO2 Emissions (Scope 3),96,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7385
Agrovision_US_HoldCo_LLC,GHG Emissions (Total),96,,2023,N/A,Year-over-Year Change in GHG Emissions,0.7237
Agrovision_US_HoldCo_LLC,Waste Generated,129,,2023,N/A,Amount of hazardous waste generated,0.6453
Agrovision_US_HoldCo_LLC,Hazardous Waste,8.12,,2023,N/A,Amount of hazardous waste generated,0.7146
Adecoagro_SA,CO2 Emissions (Scope 1),38,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7534
Acadia_Healthcare_Co_Inc,Hazardous Waste,2.88,,2023,N/A,Amount of hazardous waste generated,0.7162
Abbott_Laboratories,CO2 Emissions (Scope 1),30,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7534
Abbott_Laboratories,CO2 Emissions (Scope 2),221,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7077
Aflac_Inc,CO2 Emissions (Scope 3),58,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7503
Abbott_Laboratories,GHG Emissions (Total),306,,2023,N/A,Total GHG Emissions from Power Generation,0.7125
Abbott_Laboratories,Waste Generated,2023,,2023,N/A,Hazardous Waste Generation Rate,0.6253
Abengoa_Yield_plc,CO2 Emissions (Scope 1),1395,,2023,N/A,Total Gross Global Scope 1 Emissions,0.7077
Abengoa_Yield_plc,CO2 Emissions (Scope 2),3,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7706
Abengoa_Yield_plc,CO2 Emissions (Scope 3),15,,2023,N/A,"Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions",0.7578
Abengoa_Yield_plc,GHG Emissions (Total),70,,2023,N/A,Year-over-Year Change in GHG Emissions,0.7118
