Company name,Sector,Industry,Country,Report type,Report year,Report link,Source
104 Corp,Technology & Communications,Internet Media & Services,Taiwan,ESG Report,2021,http://corp.104.com.tw/assets/files/CSR/2021_104_ESG_report.pdf,SASB
2W Ecobank SA,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,Brazil,Sustainability Report,2022,https://docs.publicnow.com/viewDoc.aspx?filename=104816%5CEXT%5CA3029ACD7E4503B38F2F8019857B3B07B1A6DEA9_FEFEF6FECF9220D192E19B9088F69046C681AB77.PDF,Google search
2W Energia SA,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,Brazil,Relatório de Sustentabilidade,2021,https://2wenergia.com.br/wp-content/uploads/2022/06/2WENERGIA_Relatorio2021_v07-1.pdf,SASB
3i Group PLC,Financials,Asset Management & Custody Activities,Britain,Sustainability Report,2024,https://www.3i.com/media/ji4blavo/sasb-disclosures-for-the-year-ended-31-march-2024.pdf,SASB
3M India Ltd,Resource Transformation,Containers & Packaging,India,Impact Report,2024,https://multimedia.3m.com/mws/media/2395043O/3m-2024-global-impact-report.pdf,SASB
407 ETR,Infrastructure,Engineering & Construction Services,Canada,ESG,2022,https://407etr.com/documents/investors/2022ESGReport.pdf,SASB
407 International Inc,Services,Professional & Commercial Services,Canada,ESG Report,2022,https://407etr.com/documents/investors/2022ESGReport.pdf,SASB
A&T Europe - Spa,Infrastructure,Engineering & Construction Services,Italy,ESG Report,2023,https://www.myrthapools.com/app/uploads/2023/10/ESG-Myrtha-Pools-EN.pdf,SASB
a2 Milk Co Ltd/The,Food & Beverage,"Meat, Poultry & Dairy",New Zealand,SASB Index,2024,https://assets-au-01.kc-usercontent.com/bca3e5d5-83bd-02bf-1c27-acb036630e5b/cf7e16e6-176d-4b9f-8d2a-e34a446ec23a/79207_a2_SASB%20Standards_V01.pdf,SASB
AAON Inc,Resource Transformation,Electrical & Electronic Equipment,United States,Sustainability Report,2023,https://www.aaon.com/hubfs/Documents/IR%20Documents/ESG%20and%20Sustainability%20Reports/2023%20AAON%20Sustainability%20Report.pdf,SASB
AAR Corp,Resource Transformation,Aerospace & Defence,United States,SASB Index,2024,https://www.aarcorp.com/globalassets/5.-about/sustainability/aar-2024-gri-sasb-index_final-pdf.pdf,SASB
Aarti Industries Ltd,Resource Transformation,Chemicals,India,Sustainability Report,2023-2024,https://www.aarti-industries.com/Upload/PDF/sustainability-report-2023-2024.pdf,SASB
AB - AllianceBernstein Holding LP,Financials,Asset Management & Custody Activities,United States,SASB Index,2024,https://www.alliancebernstein.com/content/dam/corporate/corporate-pdfs/sasb-disclosures.pdf,SASB
ABB Ltd.,Resource Transformation,Electrical & Electronic Equipment,Switzerland,Sustainability Report,2024,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108470A7211&LanguageCode=en&DocumentPartId=&Action=Launch,SASB
Abbott Laboratories,Health Care,Medical Equipment & Supplies,United States,Sustainability Report,2023,https://www.abbott.com/content/dam/corp/abbott/en-us/hub-new/Abbott-2023-Global-Sustainability-Report-June-2024.pdf,SASB
AbbVie Inc,Health Care,Biotechnology & Pharmaceuticals,United States,ESG Report,2023,https://www.abbvie.com/content/dam/abbvie-com2/pdfs/esg-disclosure-supplement.pdf,SASB
Abengoa Yield plc,Infrastructure,Electric Utilities & Power Generators,Britain,Integrated Report,2023,https://www.atlantica.com/wp-content/uploads/documents/2023-Integrated-Annual-Report-Web.pdf,SASB
ABM Industries Inc,Services,Professional & Commercial Services,United States,ESG Report,2022,https://www.abm.com/wp-content/uploads/2023/10/ABM%202022%20ESG%20Report.pdf,SASB
ABN AMRO Bank NV,Financials,Commercial Banks,Netherlands,SASB Index,2021,https://assets.ctfassets.net/1u811bvgvthc/2DU5m0OQxDDBARkw7ukegy/ac50c088f2b2dd351fdd3d0a8d31e91d/ABN_AMRO_SASB_Content_Index_2021.pdf,SASB
Abrdn plc,Financials,Asset Management & Custody Activities,Britain,Sustainability Report,2024,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/LSE_ABDN_2023.pdf,Google search
Abu Dhabi Commercial Bank PJSC ADCB,Financials,Commercial Banks,Uae,ESG Report,2023,https://www.adcb.com/en/multimedia/pdfs/2024/april/2023-esg-report-english.pdf,SASB
Abu Dhabi National Energy Co PJSC TAQA,Infrastructure,Electric Utilities & Power Generators,Uae,Sustainability Report,2023,https://www.taqa.com/wp-content/uploads/2024/05/TAQA-Sustainability-Report-2023-1.pdf,SASB
AC Energy Inc.,Infrastructure,Electric Utilities & Power Generators,Philippines,Integrated Report,2023,https://www.acenrenewables.com/wp-content/uploads/2024/04/2023-ACEN-Integrated-Report_final.pdf,SASB
Academy Sports & Outdoors Inc,Consumer Goods,Multiline and Specialty Retailers & Distributors,United States,CSR Report,2023,https://corporate.academy.com/wp-content/uploads/corpresponsibility/2023_Academy_Corporate_Responsibility_Report.pdf,SASB
Acadia Healthcare Co Inc,Health Care,Health Care Delivery,United States,Sustainability Report,2023,https://www.acadiahealthcare.com/wp-content/uploads/sites/173/2024/08/Final-ACHC-Sustainability-Report-July-2024.pdf,SASB
Acadia Realty Trust,Infrastructure,Real Estate,United States,CSR Report,2023,https://www.acadiarealty.com/images/Sustainability/AKR_CorporateResponsibilityReport_Published-2024.pdf,SASB
ACC Ltd,Extractives & Minerals Processing,Construction Materials,India,Sustainability Report,2023-2024,https://www.acclimited.com/assets/new/pdf/ACC-Main-V2-17-08-2024-2-page-view.pdf,SASB
Accenture Development Partnerships,Technology & Communications,Software & IT Services,Ireland,SASB Index,2024,https://www.accenture.com/content/dam/accenture/final/corporate/company-information/document/Accenture-Sustainability-Accounting-Standards-Board-Index-2024.pdf,SASB
ACCO Brands Corp,Consumer Goods,Multiline and Specialty Retailers & Distributors,United States,ESG Report,2023,https://s27.q4cdn.com/496738823/files/doc_downloads/2024/09/esg_final.pdf,SASB
