Sector,Industry,PDF_URL
Consumer Goods,"Apparel, Accessories & Footwear",https://d3flraxduht3gu.cloudfront.net/latest_standards/apparel-accessories-and-footwear-standard_en-gb.pdf
Consumer Goods,Appliance Manufacturing,https://d3flraxduht3gu.cloudfront.net/latest_standards/appliance-manufacturing-standard_en-gb.pdf
Consumer Goods,Building Products & Furnishings,https://d3flraxduht3gu.cloudfront.net/latest_standards/building-products-and-furnishings-standard_en-gb.pdf
Consumer Goods,E-Commerce,https://d3flraxduht3gu.cloudfront.net/latest_standards/e-commerce-standard_en-gb.pdf
Consumer Goods,Household & Personal Products,https://d3flraxduht3gu.cloudfront.net/latest_standards/household-and-personal-products-standard_en-gb.pdf
Consumer Goods,Multiline and Specialty Retailers & Distributors,https://d3flraxduht3gu.cloudfront.net/latest_standards/multiline-and-specialty-retailers-and-distributors-standard_en-gb.pdf
Consumer Goods,Toys & Sporting Goods,https://d3flraxduht3gu.cloudfront.net/latest_standards/toys-and-sporting-goods-standard_en-gb.pdf
Extractives & Minerals Processing,Coal Operations,https://d3flraxduht3gu.cloudfront.net/latest_standards/coal-operations-standard_en-gb.pdf
Extractives & Minerals Processing,Construction Materials,https://d3flraxduht3gu.cloudfront.net/latest_standards/construction-materials-standard_en-gb.pdf
Extractives & Minerals Processing,Iron & Steel Producers,https://d3flraxduht3gu.cloudfront.net/latest_standards/iron-and-steel-producers-standard_en-gb.pdf
Extractives & Minerals Processing,Metals & Mining,https://d3flraxduht3gu.cloudfront.net/latest_standards/metals-and-mining-standard_en-gb.pdf
Extractives & Minerals Processing,Oil & Gas – Exploration & Production,https://d3flraxduht3gu.cloudfront.net/latest_standards/oil-and-gas-exploration-and-production-standard_en-gb.pdf
Extractives & Minerals Processing,Oil & Gas – Midstream,https://d3flraxduht3gu.cloudfront.net/latest_standards/oil-and-gas-midstream-standard_en-gb.pdf
Extractives & Minerals Processing,Oil & Gas – Refining & Marketing,https://d3flraxduht3gu.cloudfront.net/latest_standards/oil-and-gas-refining-and-marketing-standard_en-gb.pdf
Extractives & Minerals Processing,Oil & Gas – Services,https://d3flraxduht3gu.cloudfront.net/latest_standards/oil-and-gas-services-standard_en-gb.pdf
Financials,Asset Management & Custody Activities,https://d3flraxduht3gu.cloudfront.net/latest_standards/asset-management-and-custody-activities-standard_en-gb.pdf
