Company Name,Industry,Sector,Country,Report Type,Report Year,Report Link,Source,Download Result
104 Corp,Internet Media & Services,Technology & Communications,Taiwan,ESG Report,2021,http://corp.104.com.tw/assets/files/CSR/2021_104_ESG_report.pdf,SASB,"⚠️ HTTPConnectionPool(host='corp.104.com.tw', port=80): Max retries exceeded with url: /assets/files/CSR/2021_104_ESG_report.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000243E3D90A50>, 'Connection to corp.104.com.tw timed out. (connect timeout=15)'))"
2W Ecobank SA,Wind Technology & Project Developers,Renewable Resources & Alternative Energy,Brazil,Sustainability Report,2022,https://api.mziq.com/mzfilemanager/v2/d/4f5cf082-7b8a-47ad-9013-5de0ecda0d59/89b2dece-cf43-cb3c-6014-3f53e954e352?origin=1,SASB,🟡 Déjà téléchargé
2W Energia SA,Wind Technology & Project Developers,Renewable Resources & Alternative Energy,Brazil,Relatório de Sustentabilidade,2021,https://2wenergia.com.br/wp-content/uploads/2022/06/2WENERGIA_Relatorio2021_v07-1.pdf,SASB,"⚠️ HTTPSConnectionPool(host='2wenergia.com.br', port=443): Max retries exceeded with url: /wp-content/uploads/2022/06/2WENERGIA_Relatorio2021_v07-1.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000243E3D88990>, 'Connection to 2wenergia.com.br timed out. (connect timeout=15)'))"
3i Group PLC,Asset Management & Custody Activities,Financials,Britain,Sustainability Report,2024,https://www.3i.com/media/ji4blavo/sasb-disclosures-for-the-year-ended-31-march-2024.pdf,SASB,🟡 Déjà téléchargé
3M India Ltd,Containers & Packaging,Resource Transformation,India,Impact Report,2024,https://multimedia.3m.com/mws/media/2395043O/3m-2024-global-impact-report.pdf,SASB,🟡 Déjà téléchargé
407 ETR,Engineering & Construction Services,Infrastructure,Canada,ESG,2022,https://407etr.com/documents/investors/2022ESGReport.pdf,SASB,🟡 Déjà téléchargé
407 International Inc,Professional & Commercial Services,Services,Canada,ESG Report,2022,https://407etr.com/documents/investors/2022ESGReport.pdf,SASB,🟡 Déjà téléchargé
A&T Europe - Spa,Engineering & Construction Services,Infrastructure,Italy,ESG Report,2023,https://www.myrthapools.com/app/uploads/2023/10/ESG-Myrtha-Pools-EN.pdf,SASB,🟡 Déjà téléchargé
a2 Milk Co Ltd/The,"Meat, Poultry & Dairy",Food & Beverage,New Zealand,SASB Index,2024,https://assets-au-01.kc-usercontent.com/bca3e5d5-83bd-02bf-1c27-acb036630e5b/cf7e16e6-176d-4b9f-8d2a-e34a446ec23a/79207_a2_SASB%20Standards_V01.pdf,SASB,🟡 Déjà téléchargé
AAON Inc,Electrical & Electronic Equipment,Resource Transformation,United States,Sustainability Report,2023,https://www.aaon.com/hubfs/Documents/IR%20Documents/ESG%20and%20Sustainability%20Reports/2023%20AAON%20Sustainability%20Report.pdf,SASB,🟡 Déjà téléchargé
AAR Corp,Aerospace & Defence,Resource Transformation,United States,SASB Index,2024,https://www.aarcorp.com/globalassets/5.-about/sustainability/aar-2024-gri-sasb-index_final-pdf.pdf,SASB,🟡 Déjà téléchargé
Aarti Industries Ltd,Chemicals,Resource Transformation,India,Sustainability Report,2023-2024,https://www.aarti-industries.com/Upload/PDF/sustainability-report-2023-2024.pdf,SASB,🟡 Déjà téléchargé
AB - AllianceBernstein Holding LP,Asset Management & Custody Activities,Financials,United States,SASB Index,2024,https://www.alliancebernstein.com/content/dam/corporate/corporate-pdfs/sasb-disclosures.pdf,SASB,🟡 Déjà téléchargé
ABB Ltd.,Electrical & Electronic Equipment,Resource Transformation,Switzerland,Sustainability Report,2024,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108470A7211&LanguageCode=en&DocumentPartId=&Action=Launch,SASB,🟡 Déjà téléchargé
Abbott Laboratories,Medical Equipment & Supplies,Health Care,United States,Sustainability Report,2023,https://www.abbott.com/content/dam/corp/abbott/en-us/hub-new/Abbott-2023-Global-Sustainability-Report-June-2024.pdf,SASB,🟡 Déjà téléchargé
AbbVie Inc,Biotechnology & Pharmaceuticals,Health Care,United States,ESG Report,2023,https://www.abbvie.com/content/dam/abbvie-com2/pdfs/esg-disclosure-supplement.pdf,SASB,❌ 403
Abengoa Yield plc,Electric Utilities & Power Generators,Infrastructure,Britain,Integrated Report,2023,https://www.atlantica.com/wp-content/uploads/documents/2023-Integrated-Annual-Report-Web.pdf,SASB,🟡 Déjà téléchargé
ABM Industries Inc,Professional & Commercial Services,Services,United States,ESG Report,2022,https://www.abm.com/wp-content/uploads/2023/10/ABM%202022%20ESG%20Report.pdf,SASB,❌ 404
ABN AMRO Bank NV,Commercial Banks,Financials,Netherlands,SASB Index,2021,https://assets.ctfassets.net/1u811bvgvthc/2DU5m0OQxDDBARkw7ukegy/ac50c088f2b2dd351fdd3d0a8d31e91d/ABN_AMRO_SASB_Content_Index_2021.pdf,SASB,🟡 Déjà téléchargé
Abrdn plc,Asset Management & Custody Activities,Financials,Britain,Sustainability Report,2024,https://www.aberdeenplc.com/docs?editionId=afb53552-b713-47a1-888b-ef5edb35b776,SASB,🟡 Déjà téléchargé
Abu Dhabi Commercial Bank PJSC ADCB,Commercial Banks,Financials,Uae,ESG Report,2023,https://www.adcb.com/en/multimedia/pdfs/2024/april/2023-esg-report-english.pdf,SASB,🟡 Déjà téléchargé
